epoch,train_loss,train_acc,val_loss,val_acc
1,0.673269087013686,0.42000735564544245,1.7913676102953793,0.33202614379080625
2,0.19713838910597634,0.7443913203383323,0.953693286188163,0.6745098039214804
3,0.1208097639933058,0.8576682603898177,0.8133559945361002,0.7019607843136337
4,0.08786935847541374,0.8870908422213722,0.9791629360390922,0.6967320261436998
5,0.096608388808639,0.8764251563074338,0.721785897444961,0.7647058823528412
6,0.06653698708186365,0.9117322545052993,0.5670820493518175,0.7960784313724449
7,0.048016666470668504,0.9279146745126543,0.6354484382017713,0.8104575163397633
8,0.059322616688935105,0.9176167708716102,0.8026138332153966,0.7764705882351925
9,0.04611897046577239,0.9360058845163318,0.596022123721612,0.8248366013070817
10,0.033066369047844144,0.9558661272526312,0.6068314210115291,0.8156862745096972
11,0.03351967175172141,0.9492460463405314,0.6100448531968318,0.8183006535946642
12,0.03983571547185825,0.9503493931592147,0.59117301912861,0.8235294117645982
13,0.030396591123389678,0.9540272158881591,0.5360988303726093,0.8483660130717845
14,0.04049387701340597,0.9510849577050037,0.6053935035965009,0.8287581699345321
15,0.03257218983028349,0.9646929018020977,0.7262892189367753,0.8117647058822468
16,0.0867890242669383,0.9076866495034606,1.2546550172604685,0.7084967320260511
17,0.04810427905633216,0.9466715704302704,0.7107023335359305,0.7973856209149284
18,0.029691338574059884,0.9540272158881591,0.5189443332891159,0.8457516339868175
19,0.018324179520727766,0.9764619345347195,0.46475878157251177,0.8627450980391028
20,0.014113793685982453,0.9790364104449806,0.4812500614940101,0.8679738562090368
